ticket_id,customer_id,issue_type,priority,resolution_time_hours,ticket_status,support_channel
TKT-5270,CUS-98870199,Bug Report,Low,27,Closed,Chat
TKT-1720,CUS-64774291,Login Issue,High,14,Closed,Web Portal
TKT-3164,CUS-32792025,Bug Report,Medium,15,Open,Email
TKT-1247,CUS-66155424,Bug Report,Low,37,Closed,Email
TKT-7322,CUS-28946068,Refund Request,Low,23,Closed,Email
TKT-9463,CUS-76603019,Bug Report,Low,66,Closed,Email
TKT-9492,CUS-65534855,Payment Failure,High,62,Closed,Email
TKT-3154,CUS-29954748,Login Issue,Medium,45,Open,Chat
TKT-1162,CUS-46110966,Refund Request,Low,58,Closed,Chat
TKT-6931,CUS-62005831,Login Issue,High,61,Open,Email
TKT-6809,CUS-44126991,Payment Failure,High,12,Closed,Chat
TKT-4801,CUS-14553204,Subscription Problem,Medium,12,Pending,Phone
TKT-5424,CUS-67780193,Payment Failure,Critical,70,Closed,Email
TKT-8827,CUS-73040682,Bug Report,Low,10,Closed,Email
TKT-2557,CUS-18614321,Login Issue,Low,43,Closed,Chat
TKT-5262,CUS-26135239,Payment Failure,Low,50,Open,Web Portal
TKT-7356,CUS-22567117,Bug Report,High,28,Closed,Chat
TKT-8373,CUS-96593714,Login Issue,Low,19,Closed,Chat
TKT-7800,CUS-36404700,Login Issue,Low,68,Closed,Chat
TKT-4448,CUS-60872927,Subscription Problem,Medium,27,Open,Email
TKT-8516,CUS-68811668,Refund Request,Low,70,Closed,Chat
TKT-4181,CUS-51531906,Login Issue,Low,1,Open,Chat
TKT-7431,CUS-89869099,Subscription Problem,Medium,30,Open,Email
TKT-7947,CUS-10354539,Login Issue,Medium,42,Closed,Email
TKT-6898,CUS-18921125,Subscription Problem,Medium,50,Closed,Chat
TKT-8629,CUS-17421725,Payment Failure,Low,60,Closed,Chat
TKT-8806,CUS-14484736,Payment Failure,Medium,56,Closed,Chat
TKT-1567,CUS-55981896,Bug Report,Medium,44,Closed,Phone
TKT-1476,CUS-52139061,Subscription Problem,Low,67,Closed,Email
TKT-3809,CUS-56017544,Payment Failure,High,67,Closed,Email
TKT-8326,CUS-71999602,Bug Report,Low,19,Closed,Chat
TKT-3333,CUS-17567562,Login Issue,High,26,Closed,Chat
TKT-1883,CUS-51323089,Payment Failure,Medium,58,Closed,Email
TKT-5891,CUS-79092759,Login Issue,Low,24,Closed,Phone
TKT-7880,CUS-80134401,Bug Report,High,59,Open,Chat
TKT-6641,CUS-11508889,Login Issue,Medium,71,Open,Email
TKT-2818,CUS-98060758,Login Issue,Low,49,Open,Email
TKT-9221,CUS-34910398,Subscription Problem,High,54,Closed,Email
TKT-6466,CUS-31994863,Payment Failure,Low,20,Closed,Chat
TKT-2758,CUS-60768651,Payment Failure,Critical,61,Closed,Phone
TKT-8057,CUS-87632315,Subscription Problem,Low,30,Closed,Phone
TKT-1736,CUS-94823206,Login Issue,Low,51,Pending,Phone
TKT-3485,CUS-77231245,Subscription Problem,Critical,53,Closed,Phone
TKT-7128,CUS-68527055,Login Issue,Medium,4,Pending,Chat
TKT-9203,CUS-37424595,Subscription Problem,High,58,Closed,Email
TKT-6712,CUS-55225331,Refund Request,Medium,12,Pending,Email
TKT-8216,CUS-51202971,Login Issue,Medium,49,Closed,Email
TKT-7920,CUS-21454810,Bug Report,Low,30,Closed,Chat
TKT-5919,CUS-26970953,Subscription Problem,Low,30,Closed,Chat
TKT-5824,CUS-71037606,Login Issue,Medium,45,Closed,Email
TKT-1319,CUS-88439537,Payment Failure,Low,13,Closed,Phone
TKT-9396,CUS-90285896,Subscription Problem,High,31,Closed,Chat
TKT-7914,CUS-59424122,Refund Request,Medium,13,Pending,Email
TKT-4452,CUS-76807142,Subscription Problem,Medium,48,Closed,Email
TKT-1460,CUS-73065042,Refund Request,Low,44,Closed,Chat
TKT-4886,CUS-37097414,Refund Request,Medium,20,Closed,Chat
TKT-9014,CUS-73663907,Login Issue,Low,6,Closed,Phone
TKT-5715,CUS-69586619,Payment Failure,Critical,72,Open,Email
TKT-5918,CUS-37560036,Bug Report,Low,53,Closed,Email
TKT-8130,CUS-42676532,Payment Failure,Medium,60,Closed,Email
TKT-8947,CUS-80820774,Subscription Problem,Low,62,Closed,Email
TKT-3933,CUS-87712948,Bug Report,Low,41,Closed,Email
TKT-7973,CUS-31950532,Login Issue,Low,1,Closed,Email
TKT-1603,CUS-37821449,Login Issue,Medium,55,Open,Chat
TKT-4026,CUS-76630810,Bug Report,Low,26,Closed,Phone
TKT-2648,CUS-86383059,Bug Report,Low,14,Closed,Email
TKT-2963,CUS-97244783,Subscription Problem,Low,44,Closed,Web Portal
TKT-1150,CUS-82633783,Login Issue,Medium,65,Open,Email
TKT-5234,CUS-83074113,Login Issue,Medium,22,Closed,Email
TKT-8626,CUS-86126075,Bug Report,High,18,Open,Chat
TKT-3010,CUS-13025376,Login Issue,Low,23,Pending,Web Portal
TKT-7305,CUS-39962957,Subscription Problem,Medium,22,Closed,Chat
TKT-2542,CUS-90754528,Bug Report,Low,59,Pending,Email
TKT-5995,CUS-57355704,Payment Failure,Low,37,Pending,Web Portal
TKT-9996,CUS-72617026,Refund Request,Low,70,Closed,Phone
TKT-3172,CUS-28885517,Feature Request,Medium,27,Open,Phone
TKT-8813,CUS-67539660,Payment Failure,Medium,72,Closed,Email
TKT-1425,CUS-24952782,Payment Failure,Low,44,Closed,Email
TKT-5222,CUS-90754823,Login Issue,Medium,52,Pending,Email
TKT-6778,CUS-80374636,Login Issue,Medium,8,Closed,Email
TKT-8965,CUS-62053560,Subscription Problem,Medium,6,Open,Chat
TKT-6935,CUS-62043339,Bug Report,Medium,46,Closed,Email
TKT-2273,CUS-48891815,Bug Report,Medium,37,Closed,Email
TKT-3613,CUS-43050795,Feature Request,Medium,71,Closed,Email
TKT-1536,CUS-96964404,Payment Failure,Low,35,Closed,Email
TKT-2307,CUS-13159453,Feature Request,High,70,Closed,Email
TKT-8760,CUS-41673228,Bug Report,High,37,Open,Chat
TKT-9885,CUS-94657635,Refund Request,Low,56,Closed,Web Portal
TKT-2746,CUS-54256880,Login Issue,Medium,3,Closed,Email
TKT-5588,CUS-78779484,Bug Report,Low,69,Pending,Email
TKT-6308,CUS-70757120,Subscription Problem,Low,21,Closed,Email
TKT-3102,CUS-90873769,Login Issue,Low,37,Open,Email
TKT-2703,CUS-60815411,Bug Report,High,50,Open,Email
TKT-1144,CUS-68782430,Payment Failure,Low,47,Closed,Chat
TKT-2964,CUS-64456327,Subscription Problem,Medium,68,Closed,Phone
TKT-6353,CUS-79778247,Refund Request,Medium,37,Closed,Chat
TKT-4343,CUS-77484741,Subscription Problem,Low,21,Closed,Email
TKT-2247,CUS-47319333,Refund Request,Low,67,Closed,Web Portal
TKT-5171,CUS-65178882,Payment Failure,Medium,29,Pending,Email
TKT-5769,CUS-42517462,Payment Failure,Low,17,Closed,Chat
TKT-8653,CUS-24874308,Refund Request,Low,23,Closed,Phone
TKT-1915,CUS-66017200,Bug Report,Critical,14,Closed,Email
TKT-8369,CUS-21381112,Payment Failure,High,28,Closed,Email
TKT-3080,CUS-96554776,Login Issue,Medium,42,Closed,Phone
TKT-8022,CUS-55955690,Refund Request,Medium,13,Closed,Email
TKT-6876,CUS-27418213,Subscription Problem,Medium,56,Closed,Chat
TKT-2718,CUS-86022702,Bug Report,Medium,36,Closed,Chat
TKT-6069,CUS-64568722,Payment Failure,Medium,66,Closed,Phone
TKT-9247,CUS-80233762,Login Issue,Medium,14,Closed,Email
TKT-6724,CUS-26307653,Bug Report,Low,32,Open,Email
TKT-8089,CUS-20808413,Subscription Problem,Low,33,Closed,Email
TKT-3527,CUS-54271644,Feature Request,Low,37,Closed,Chat
TKT-5914,CUS-35623779,Refund Request,Low,35,Open,Chat
TKT-9149,CUS-12166974,Payment Failure,Low,57,Closed,Chat
TKT-5923,CUS-96288039,Payment Failure,Low,23,Open,Email
TKT-1929,CUS-10234759,Login Issue,Medium,25,Closed,Phone
TKT-3372,CUS-34756125,Login Issue,Medium,57,Closed,Chat
TKT-2044,CUS-23840396,Payment Failure,Low,23,Closed,Chat
TKT-1454,CUS-53082964,Payment Failure,Low,59,Open,Chat
TKT-7636,CUS-54815027,Payment Failure,Medium,29,Pending,Chat
TKT-5736,CUS-24195294,Refund Request,Medium,6,Closed,Email
TKT-8704,CUS-62615377,Subscription Problem,Medium,7,Closed,Chat
TKT-1009,CUS-82925741,Login Issue,Low,9,Open,Chat
TKT-9943,CUS-31437660,Login Issue,Low,15,Closed,Email
TKT-4038,CUS-19210484,Payment Failure,Medium,45,Closed,Chat
TKT-7462,CUS-58337368,Bug Report,Medium,15,Closed,Email
TKT-5110,CUS-30702923,Feature Request,Medium,29,Open,Web Portal
TKT-8004,CUS-74296965,Subscription Problem,Medium,30,Closed,Email
TKT-3956,CUS-41183680,Payment Failure,Low,39,Closed,Chat
TKT-6307,CUS-37367323,Feature Request,Medium,43,Closed,Chat
TKT-9583,CUS-53519119,Bug Report,Low,60,Closed,Email
TKT-6312,CUS-20968128,Bug Report,Medium,19,Closed,Phone
TKT-1543,CUS-55644829,Refund Request,Medium,35,Closed,Chat
TKT-2169,CUS-57028374,Subscription Problem,Medium,31,Open,Email
TKT-7487,CUS-41698862,Refund Request,Medium,70,Closed,Email
TKT-5104,CUS-16301148,Login Issue,Low,4,Closed,Chat
TKT-4425,CUS-70472291,Payment Failure,Low,50,Closed,Phone
TKT-7490,CUS-62713204,Bug Report,High,12,Closed,Email
TKT-5914,CUS-39412741,Refund Request,High,15,Open,Email
TKT-9957,CUS-45772041,Login Issue,Critical,61,Pending,Chat
TKT-3465,CUS-31434773,Feature Request,Medium,17,Closed,Email
TKT-5504,CUS-73864290,Login Issue,Medium,39,Closed,Email
TKT-7134,CUS-44099374,Bug Report,Medium,21,Closed,Web Portal
TKT-2188,CUS-15088946,Payment Failure,Low,11,Open,Email
TKT-1590,CUS-80104582,Refund Request,Low,28,Closed,Phone
TKT-2841,CUS-28486691,Subscription Problem,Low,53,Closed,Chat
TKT-6910,CUS-92524726,Feature Request,Low,24,Closed,Web Portal
TKT-7814,CUS-79047712,Refund Request,High,65,Closed,Email
TKT-7090,CUS-54389572,Bug Report,Medium,4,Pending,Chat
TKT-8484,CUS-42889878,Bug Report,Low,47,Open,Email
TKT-4024,CUS-22023222,Refund Request,Medium,72,Open,Phone
TKT-7993,CUS-97555747,Bug Report,Low,31,Closed,Chat
TKT-8206,CUS-81286955,Login Issue,Medium,41,Closed,Email
TKT-3939,CUS-14383833,Subscription Problem,Low,30,Closed,Web Portal
TKT-2288,CUS-49382970,Feature Request,Medium,6,Open,Email
TKT-1064,CUS-33089421,Login Issue,Low,22,Closed,Chat
TKT-2233,CUS-54706872,Feature Request,High,49,Open,Email
TKT-3493,CUS-63992791,Bug Report,Medium,6,Closed,Chat
TKT-9640,CUS-67860785,Login Issue,Low,20,Closed,Phone
TKT-9647,CUS-49160831,Login Issue,Low,55,Open,Email
TKT-1955,CUS-53517565,Login Issue,Low,21,Closed,Chat
TKT-5977,CUS-76594060,Subscription Problem,High,66,Closed,Email
TKT-3067,CUS-97886088,Login Issue,Medium,56,Pending,Chat
TKT-1509,CUS-44712178,Refund Request,Low,46,Closed,Chat
TKT-8234,CUS-92448465,Login Issue,Medium,31,Closed,Chat
TKT-2323,CUS-23896645,Login Issue,Critical,53,Closed,Phone
TKT-2481,CUS-33440424,Subscription Problem,Medium,56,Closed,Email
TKT-3240,CUS-70134454,Bug Report,Low,15,Closed,Chat
TKT-3207,CUS-57884792,Payment Failure,Low,63,Open,Chat
TKT-2923,CUS-44096666,Login Issue,High,40,Open,Email
TKT-8042,CUS-67730972,Bug Report,Low,49,Closed,Chat
TKT-6690,CUS-25961611,Subscription Problem,Medium,22,Closed,Web Portal
TKT-2407,CUS-80347925,Login Issue,Medium,17,Closed,Phone
TKT-1708,CUS-13876895,Subscription Problem,Medium,37,Open,Email
TKT-6100,CUS-78146888,Payment Failure,Low,49,Closed,Email
TKT-3014,CUS-74551205,Payment Failure,Low,61,Closed,Email
TKT-3379,CUS-81444823,Payment Failure,Low,57,Closed,Email
TKT-2737,CUS-15599269,Login Issue,Low,18,Closed,Chat
TKT-2416,CUS-82907753,Subscription Problem,Low,39,Closed,Email
TKT-4818,CUS-18399123,Feature Request,Critical,31,Closed,Email
TKT-7355,CUS-35522512,Login Issue,Medium,12,Closed,Phone
TKT-4272,CUS-28697879,Login Issue,Medium,26,Pending,Chat
TKT-3975,CUS-66296250,Payment Failure,High,13,Open,Chat
TKT-5410,CUS-84302202,Payment Failure,High,71,Closed,Phone
TKT-5673,CUS-73773487,Login Issue,Low,38,Open,Email
TKT-7286,CUS-14545052,Bug Report,Medium,47,Closed,Phone
TKT-7002,CUS-82726512,Refund Request,High,16,Closed,Chat
TKT-6212,CUS-92386593,Subscription Problem,Low,52,Closed,Chat
TKT-4375,CUS-27423738,Payment Failure,High,53,Open,Phone
TKT-2332,CUS-28296183,Login Issue,High,34,Open,Web Portal
TKT-9912,CUS-95320213,Payment Failure,Low,63,Closed,Chat
TKT-8127,CUS-83859201,Bug Report,Low,23,Closed,Chat
TKT-3373,CUS-93053676,Bug Report,Low,68,Closed,Phone
TKT-5340,CUS-45461132,Feature Request,Low,24,Open,Web Portal
TKT-7871,CUS-17224362,Subscription Problem,Low,46,Closed,Email
TKT-4442,CUS-90351677,Subscription Problem,Low,39,Closed,Chat
TKT-5997,CUS-59368712,Bug Report,Low,48,Closed,Phone
TKT-8584,CUS-95850111,Subscription Problem,Low,68,Closed,Email
TKT-6018,CUS-81812336,Refund Request,Low,64,Closed,Email
TKT-3715,CUS-88080662,Payment Failure,Low,23,Closed,Email
TKT-5402,CUS-57279491,Payment Failure,Medium,61,Open,Email
TKT-9015,CUS-57714936,Bug Report,Medium,37,Closed,Chat
TKT-4458,CUS-33063969,Login Issue,High,21,Closed,Email
TKT-5434,CUS-56495315,Bug Report,Critical,54,Closed,Email
TKT-3303,CUS-49802683,Subscription Problem,Low,26,Open,Email
TKT-1458,CUS-61562830,Payment Failure,Medium,8,Closed,Web Portal
TKT-6507,CUS-24007436,Login Issue,Low,61,Closed,Chat
TKT-3454,CUS-95184274,Bug Report,Low,38,Closed,Email
TKT-6642,CUS-63837086,Login Issue,Medium,41,Closed,Email
TKT-6766,CUS-70232308,Payment Failure,High,8,Open,Chat
TKT-3057,CUS-39186618,Subscription Problem,Low,65,Closed,Phone
TKT-5003,CUS-19518624,Payment Failure,Low,12,Pending,Email
TKT-2707,CUS-46787819,Payment Failure,High,64,Closed,Email
TKT-2349,CUS-92785174,Feature Request,High,12,Open,Web Portal
TKT-2458,CUS-64879316,Subscription Problem,Low,33,Closed,Chat
TKT-3482,CUS-97079515,Bug Report,Low,12,Closed,Email
TKT-8336,CUS-76236718,Login Issue,Low,8,Closed,Email
TKT-3450,CUS-61882101,Refund Request,Critical,68,Closed,Phone
TKT-6420,CUS-47425406,Login Issue,Low,30,Closed,Email
TKT-3352,CUS-14575371,Feature Request,Low,38,Closed,Email
TKT-5700,CUS-34343598,Bug Report,Low,25,Closed,Web Portal
TKT-3512,CUS-84648698,Refund Request,Critical,13,Open,Chat
TKT-9347,CUS-66100949,Login Issue,Low,29,Closed,Phone
TKT-5063,CUS-80791080,Refund Request,High,53,Closed,Phone
TKT-6873,CUS-61994058,Feature Request,Low,13,Closed,Email
TKT-4286,CUS-57247595,Payment Failure,High,3,Open,Email
TKT-5323,CUS-49535174,Bug Report,Low,40,Closed,Web Portal
TKT-4619,CUS-68960422,Refund Request,Medium,29,Closed,Email
TKT-5914,CUS-69510404,Bug Report,Critical,71,Pending,Email
TKT-8491,CUS-99095229,Login Issue,Medium,38,Closed,Phone
TKT-7626,CUS-24135234,Login Issue,High,64,Closed,Chat
TKT-7014,CUS-56636566,Payment Failure,Low,26,Open,Chat
TKT-6022,CUS-46048313,Login Issue,Medium,23,Open,Chat
TKT-7049,CUS-93978381,Bug Report,Low,2,Closed,Chat
TKT-3560,CUS-69504309,Subscription Problem,Medium,58,Closed,Chat
TKT-6006,CUS-92239668,Payment Failure,Medium,3,Closed,Chat
TKT-8696,CUS-15208470,Bug Report,Medium,58,Pending,Phone
TKT-5572,CUS-31910272,Payment Failure,Low,65,Closed,Email
TKT-2356,CUS-91224459,Login Issue,Low,51,Open,Web Portal
TKT-9933,CUS-63830135,Login Issue,Medium,31,Closed,Chat
TKT-8215,CUS-71474735,Refund Request,Low,63,Closed,Email
TKT-3374,CUS-94534518,Login Issue,Low,51,Closed,Email
TKT-1562,CUS-27881563,Login Issue,Critical,20,Closed,Chat
TKT-2296,CUS-69213422,Login Issue,Low,13,Closed,Chat
TKT-7972,CUS-96312143,Bug Report,Medium,52,Closed,Chat
TKT-4472,CUS-48500651,Subscription Problem,Low,62,Open,Phone
TKT-6383,CUS-75922230,Login Issue,Medium,54,Open,Web Portal
TKT-5424,CUS-48565042,Refund Request,Medium,29,Pending,Chat
TKT-7608,CUS-39881167,Refund Request,Low,27,Closed,Web Portal
TKT-4700,CUS-43541968,Login Issue,Low,47,Closed,Phone
TKT-3252,CUS-17654644,Login Issue,Medium,62,Closed,Email
TKT-9595,CUS-27214196,Refund Request,Critical,54,Closed,Chat
TKT-5703,CUS-93971130,Payment Failure,Medium,62,Pending,Chat
TKT-6893,CUS-45706139,Login Issue,High,64,Closed,Web Portal
TKT-6256,CUS-10078115,Login Issue,Low,5,Open,Email
TKT-5153,CUS-19235059,Refund Request,Low,65,Closed,Chat
TKT-1851,CUS-65908774,Refund Request,High,65,Closed,Chat
TKT-8455,CUS-11104574,Payment Failure,Medium,13,Pending,Email
TKT-1889,CUS-35615705,Bug Report,High,35,Pending,Chat
TKT-1810,CUS-10377462,Bug Report,Medium,24,Open,Chat
TKT-5604,CUS-72769401,Refund Request,Low,19,Closed,Email
TKT-6757,CUS-85254291,Bug Report,Medium,70,Closed,Email
TKT-5744,CUS-20208563,Payment Failure,Low,70,Closed,Email
TKT-7388,CUS-43027696,Refund Request,Critical,14,Open,Email
TKT-8289,CUS-14219236,Login Issue,Medium,29,Closed,Web Portal
TKT-3113,CUS-50464165,Refund Request,Medium,58,Pending,Chat
TKT-4020,CUS-72339644,Payment Failure,Low,9,Closed,Chat
TKT-6709,CUS-57790837,Bug Report,Medium,65,Pending,Email
TKT-2295,CUS-57607836,Login Issue,Medium,47,Pending,Chat
TKT-1320,CUS-28824416,Login Issue,Medium,14,Closed,Chat
TKT-1008,CUS-71092499,Feature Request,High,37,Pending,Phone
TKT-5729,CUS-12254895,Payment Failure,Medium,33,Closed,Chat
TKT-7419,CUS-25321139,Payment Failure,Medium,54,Closed,Chat
TKT-2773,CUS-84584342,Feature Request,Low,26,Closed,Chat
TKT-1467,CUS-15183894,Login Issue,Low,64,Closed,Chat
TKT-4691,CUS-35053387,Login Issue,Low,53,Open,Chat
TKT-2826,CUS-22229376,Login Issue,High,15,Closed,Phone
TKT-3086,CUS-11354814,Bug Report,Critical,69,Closed,Chat
TKT-5672,CUS-50893984,Login Issue,Low,20,Pending,Chat
TKT-7559,CUS-49336060,Payment Failure,Low,42,Open,Chat
TKT-4726,CUS-16284771,Bug Report,Medium,10,Closed,Email
TKT-3503,CUS-57753748,Bug Report,Low,69,Closed,Email
TKT-7619,CUS-42462379,Refund Request,Medium,15,Closed,Email
TKT-9822,CUS-85290144,Refund Request,Medium,23,Pending,Email
TKT-9749,CUS-21320138,Payment Failure,Critical,38,Closed,Email
TKT-7859,CUS-48620121,Login Issue,Low,33,Closed,Chat
TKT-9881,CUS-54615875,Login Issue,Low,51,Closed,Phone
TKT-4063,CUS-94906420,Payment Failure,High,54,Closed,Chat
TKT-4184,CUS-79757519,Login Issue,Low,57,Closed,Chat
TKT-3508,CUS-66998488,Subscription Problem,Medium,7,Closed,Email
TKT-1282,CUS-85996992,Feature Request,High,31,Closed,Chat
TKT-9364,CUS-15974335,Bug Report,Low,62,Closed,Chat
TKT-6226,CUS-96816848,Feature Request,Medium,48,Open,Email
TKT-5568,CUS-15233143,Payment Failure,Critical,42,Closed,Chat
TKT-3033,CUS-46000799,Payment Failure,High,29,Open,Email
TKT-9473,CUS-74865373,Login Issue,Low,71,Closed,Email
TKT-2002,CUS-24135736,Bug Report,Low,48,Closed,Email
TKT-7873,CUS-96940266,Login Issue,Low,51,Closed,Chat
TKT-6496,CUS-40169432,Refund Request,Medium,20,Closed,Chat
TKT-7475,CUS-24881293,Login Issue,Low,58,Closed,Phone
TKT-9106,CUS-29816486,Payment Failure,Low,48,Closed,Chat
TKT-6128,CUS-86271066,Login Issue,Medium,68,Open,Phone
TKT-7428,CUS-65259447,Login Issue,Medium,5,Open,Phone
TKT-9488,CUS-46907363,Bug Report,Low,7,Closed,Web Portal
TKT-3962,CUS-11182420,Payment Failure,Low,1,Open,Email
TKT-7548,CUS-24206368,Payment Failure,Medium,33,Open,Email
TKT-1669,CUS-26049773,Payment Failure,Low,57,Closed,Email
TKT-1866,CUS-60817879,Subscription Problem,Medium,36,Pending,Chat
TKT-6782,CUS-22168140,Bug Report,Medium,24,Closed,Chat
TKT-3630,CUS-24533472,Refund Request,Medium,33,Pending,Web Portal
TKT-3719,CUS-34526590,Login Issue,Low,18,Closed,Email
TKT-4664,CUS-61740244,Subscription Problem,Low,61,Closed,Chat
TKT-2081,CUS-54844521,Subscription Problem,Medium,67,Closed,Email
TKT-2949,CUS-65660032,Refund Request,Low,38,Closed,Email
TKT-4267,CUS-61901065,Bug Report,Low,25,Closed,Phone
TKT-2610,CUS-95936408,Login Issue,Medium,35,Closed,Email
TKT-4896,CUS-23808168,Payment Failure,High,41,Pending,Email
TKT-2617,CUS-41172527,Login Issue,Low,61,Closed,Chat
TKT-3630,CUS-80406011,Payment Failure,High,42,Closed,Chat
TKT-6102,CUS-94142654,Login Issue,Low,68,Open,Email
TKT-7756,CUS-74837208,Subscription Problem,Low,50,Open,Email
TKT-1741,CUS-57183261,Bug Report,High,28,Pending,Chat
TKT-8490,CUS-45385208,Refund Request,Low,9,Closed,Chat
TKT-1056,CUS-62334428,Subscription Problem,Low,6,Closed,Chat
TKT-6083,CUS-43986636,Payment Failure,Low,22,Open,Phone
TKT-6433,CUS-32642918,Subscription Problem,High,23,Open,Chat
TKT-1827,CUS-14769621,Subscription Problem,Medium,2,Closed,Email
TKT-3830,CUS-23796527,Subscription Problem,Medium,24,Closed,Chat
TKT-5685,CUS-70834235,Login Issue,Low,40,Closed,Web Portal
TKT-4557,CUS-80608002,Payment Failure,Medium,68,Closed,Web Portal
TKT-6505,CUS-67190011,Login Issue,Low,69,Closed,Email
TKT-3782,CUS-82769998,Bug Report,High,17,Pending,Phone
TKT-1271,CUS-73525530,Bug Report,Low,9,Closed,Email
TKT-5406,CUS-23981436,Login Issue,Medium,49,Closed,Chat
TKT-5582,CUS-33762076,Bug Report,Medium,13,Closed,Email
TKT-2956,CUS-11922236,Subscription Problem,Low,70,Closed,Chat
TKT-3354,CUS-26905817,Bug Report,Low,22,Closed,Phone
TKT-2156,CUS-44946268,Bug Report,Low,43,Closed,Email
TKT-3265,CUS-68372952,Login Issue,Low,32,Open,Chat
TKT-6228,CUS-55741805,Login Issue,High,61,Open,Chat
TKT-1987,CUS-55104336,Payment Failure,Critical,4,Pending,Email
TKT-6793,CUS-70023519,Login Issue,Medium,57,Closed,Phone
TKT-7488,CUS-37445576,Subscription Problem,High,49,Closed,Phone
TKT-9247,CUS-16196351,Login Issue,Medium,32,Closed,Email
TKT-5771,CUS-95316454,Bug Report,Low,41,Closed,Email
TKT-3888,CUS-86133927,Subscription Problem,High,45,Pending,Email
TKT-7482,CUS-16038931,Payment Failure,Medium,2,Closed,Chat
TKT-2831,CUS-23904966,Subscription Problem,Low,40,Closed,Email
TKT-2060,CUS-50010418,Login Issue,High,12,Open,Chat
TKT-2197,CUS-11742966,Payment Failure,Low,8,Open,Email
TKT-4598,CUS-37381799,Payment Failure,Low,52,Closed,Email
TKT-5970,CUS-65296754,Login Issue,Medium,9,Open,Email
TKT-2512,CUS-34925333,Bug Report,Medium,62,Closed,Email
TKT-6580,CUS-10046979,Bug Report,Critical,26,Closed,Email
TKT-9139,CUS-77908440,Login Issue,Critical,70,Closed,Chat
TKT-4684,CUS-10910164,Login Issue,Medium,63,Closed,Phone
TKT-4758,CUS-45949981,Bug Report,High,37,Pending,Email
TKT-1440,CUS-29203261,Feature Request,Low,55,Closed,Email
