event_id,customer_id,event_type,event_time,device_type,traffic_source,session_duration
EvtID00028,CUS-77115613,Add to Cart,5/28/2025,Mobile,Direct,64
EvtID00029,CUS-82541055,Login,02-04-2026,Desktop,Instagram,150
EvtID00030,CUS-65476848,Cancel Subscription,12-02-2025,Desktop,Instagram,
EvtID00031,CUS-59067322,Logout,06-05-2025,Mobile,Instagram,43
EvtID00032,CUS-16093385,Upgrade Plan,04-06-2025,Mobile,Organic Search,127
EvtID00033,CUS-68027288,Add to Cart,6/25/2025,Mobile,Google Ads,1
EvtID00034,CUS-92568079,Upgrade Plan,10-04-2025,Mobile,Organic Search,68
EvtID00035,CUS-27671999,Purchase,1/19/2026,Desktop,Organic Search,94
EvtID00036,CUS-91449759,Upgrade Plan,5/23/2026,Mobile,LinkedIn,
EvtID00037,CUS-63367179,Purchase,9/27/2025,Mobile,Google Ads,
EvtID00038,CUS-92374798,Cancel Subscription,5/20/2025,Desktop,Google Ads,145
EvtID00039,CUS-59080480,Login,12/15/2025,Desktop,Google Ads,57
EvtID00040,CUS-66768978,Add to Cart,3/15/2026,Mobile,Instagram,55
EvtID00041,CUS-16468263,Login,3/25/2026,Desktop,Google Ads,53
EvtID00042,CUS-20910454,Login,11/14/2025,Mobile,Google Ads,174
EvtID00043,CUS-33389524,Purchase,05-02-2026,Mobile,Instagram,
EvtID00044,CUS-18775630,Cancel Subscription,04-03-2026,Mobile,,
EvtID00045,CUS-47820399,Login,12/27/2025,Mobile,Google Ads,154
EvtID00046,CUS-23798214,Cancel Subscription,03-08-2026,Mobile,Instagram,6
EvtID00047,CUS-19704775,Cancel Subscription,05-02-2026,Mobile,Instagram,35
EvtID00048,CUS-92348270,Purchase,08-07-2025,Mobile,,99
EvtID00049,CUS-66266059,Cancel Subscription,10/17/2025,Mobile,Instagram,127
EvtID00050,CUS-24155727,Upgrade Plan,1/15/2026,Desktop,Google Ads,123
EvtID00051,CUS-89210415,Upgrade Plan,01-10-2026,Tablet,Organic Search,117
EvtID00052,CUS-84332264,Upgrade Plan,4/17/2025,Mobile,Google Ads,39
EvtID00053,CUS-83598437,Purchase,4/16/2025,Desktop,Email Campaign,160
EvtID00054,CUS-71055915,Purchase,6/16/2025,Mobile,Google Ads,156
EvtID00055,CUS-57067831,Upgrade Plan,05-03-2026,Mobile,Instagram,75
EvtID00056,CUS-33704015,Purchase,8/15/2025,Mobile,Email Campaign,177
EvtID00057,CUS-21605068,Logout,08-05-2025,Mobile,Instagram,138
EvtID00058,CUS-96441140,Add to Cart,04-03-2026,Mobile,Email Campaign,164
EvtID00059,CUS-14916247,Upgrade Plan,05-01-2026,Mobile,,167
EvtID00060,CUS-28439072,Cancel Subscription,5/24/2025,Desktop,Google Ads,30
EvtID00061,CUS-97912797,Logout,7/14/2025,Desktop,Organic Search,65
EvtID00062,CUS-36075472,Cancel Subscription,05-09-2025,Mobile,LinkedIn,129
EvtID00063,CUS-66706844,Upgrade Plan,4/22/2026,Mobile,Direct,22
EvtID00064,CUS-14867592,Purchase,12-09-2025,Mobile,Instagram,
EvtID00065,CUS-19030556,Purchase,5/14/2026,Mobile,Google Ads,27
EvtID00066,CUS-91849006,Cancel Subscription,4/25/2026,Mobile,Google Ads,18
EvtID00067,CUS-43172101,Upgrade Plan,7/22/2025,Desktop,Google Ads,164
EvtID00068,CUS-52699166,Upgrade Plan,01-10-2026,Desktop,Organic Search,26
EvtID00069,CUS-99926536,Upgrade Plan,04-12-2025,Desktop,Organic Search,63
EvtID00070,CUS-51184932,Cancel Subscription,12-11-2025,Mobile,Google Ads,123
EvtID00071,CUS-49909786,Add to Cart,10/23/2025,Mobile,Organic Search,22
EvtID00072,CUS-55724779,Purchase,3/17/2026,Mobile,Google Ads,
EvtID00073,CUS-55675847,Logout,04-01-2026,Mobile,Email Campaign,
EvtID00074,CUS-20623729,Add to Cart,9/26/2025,Desktop,Instagram,17
EvtID00075,CUS-52074118,Purchase,9/20/2025,Desktop,Google Ads,45
EvtID00076,CUS-68511308,Login,5/17/2026,Desktop,Direct,179
EvtID00077,CUS-59018303,Cancel Subscription,04-11-2025,Mobile,,34
EvtID00078,CUS-18002326,Login,12/26/2025,Mobile,Google Ads,29
EvtID00079,CUS-17796289,Logout,10/14/2025,Tablet,Instagram,10
EvtID00080,CUS-24825604,Login,4/29/2025,Mobile,Google Ads,32
EvtID00081,CUS-57476861,Login,07-10-2025,Mobile,Instagram,111
EvtID00082,CUS-69618215,Logout,03-06-2026,Mobile,Google Ads,2
EvtID00083,CUS-95040082,Logout,8/31/2025,Mobile,Instagram,130
EvtID00084,CUS-68152216,Upgrade Plan,4/22/2025,Mobile,Email Campaign,21
EvtID00085,CUS-92953433,Purchase,08-06-2025,Mobile,,51
EvtID00086,CUS-42804210,Logout,08-05-2025,Desktop,Google Ads,137
EvtID00087,CUS-81539008,Add to Cart,04-12-2026,Desktop,Google Ads,
EvtID00088,CUS-26121322,Purchase,5/25/2025,Mobile,LinkedIn,9
EvtID00089,CUS-16246131,Add to Cart,9/22/2025,Mobile,Google Ads,24
EvtID00090,CUS-88179336,Logout,02-07-2026,Mobile,LinkedIn,133
EvtID00091,CUS-81079269,Add to Cart,08-07-2025,Mobile,Google Ads,
EvtID00092,CUS-64011619,Add to Cart,12-08-2025,Mobile,LinkedIn,10
EvtID00093,CUS-61914635,Login,7/27/2025,Mobile,Organic Search,101
EvtID00094,CUS-69985673,Login,04-11-2026,,LinkedIn,147
EvtID00095,CUS-29176839,Upgrade Plan,3/23/2026,Mobile,Direct,55
EvtID00096,CUS-48131355,Purchase,3/25/2026,Mobile,Instagram,6
EvtID00097,CUS-97709872,Add to Cart,7/28/2025,Mobile,Google Ads,68
EvtID00098,CUS-52614814,Logout,1/23/2026,Tablet,Google Ads,3
EvtID00099,CUS-80918489,Login,03-05-2026,Tablet,Instagram,115
EvtID00100,CUS-98561622,Purchase,09-09-2025,Mobile,Google Ads,137
EvtID00101,CUS-32904547,Login,10-11-2025,Mobile,Google Ads,4
EvtID00102,CUS-72132490,Add to Cart,5/29/2025,Desktop,LinkedIn,24
EvtID00103,CUS-11127785,Login,3/31/2026,Mobile,LinkedIn,95
EvtID00104,CUS-68597605,Purchase,12/29/2025,Mobile,Instagram,66
EvtID00105,CUS-98969732,Logout,1/28/2026,Mobile,,27
EvtID00106,CUS-81361250,Add to Cart,8/17/2025,Mobile,Google Ads,174
EvtID00107,CUS-19056633,Add to Cart,8/14/2025,Desktop,Email Campaign,10
EvtID00108,CUS-23202170,Cancel Subscription,1/22/2026,Mobile,,31
EvtID00109,CUS-58624441,Cancel Subscription,12/20/2025,Mobile,Google Ads,12
EvtID00110,CUS-49263577,Upgrade Plan,02-01-2026,Mobile,Google Ads,122
EvtID00111,CUS-83686696,Upgrade Plan,11-12-2025,Desktop,LinkedIn,49
EvtID00112,CUS-94243248,Add to Cart,08-02-2025,,LinkedIn,176
EvtID00113,CUS-15558502,Purchase,11/17/2025,Desktop,Instagram,117
EvtID00114,CUS-83507528,Add to Cart,08-01-2025,Mobile,,93
EvtID00115,CUS-83735537,Upgrade Plan,2/20/2026,Mobile,Direct,39
EvtID00116,CUS-30276960,Logout,3/27/2026,Mobile,LinkedIn,142
EvtID00117,CUS-64443363,Upgrade Plan,01-09-2026,Mobile,Instagram,5
EvtID00118,CUS-16218049,Logout,6/26/2025,Mobile,Organic Search,118
EvtID00119,CUS-19209696,Purchase,2/14/2026,Tablet,Google Ads,175
EvtID00120,CUS-73561803,Add to Cart,07-03-2025,Tablet,,143
EvtID00121,CUS-82876081,Add to Cart,5/15/2026,Mobile,,74
EvtID00122,CUS-23414766,Logout,1/14/2026,Desktop,Instagram,93
EvtID00123,CUS-33494494,Upgrade Plan,9/30/2025,Mobile,Instagram,110
EvtID00124,CUS-75810103,Purchase,02-01-2026,Mobile,LinkedIn,153
EvtID00125,CUS-53438214,Cancel Subscription,09-07-2025,Tablet,LinkedIn,110
EvtID00126,CUS-78350005,Add to Cart,09-01-2025,Mobile,,88
EvtID00127,CUS-33528022,Login,11/15/2025,,Google Ads,130
EvtID00128,CUS-16288916,Add to Cart,11-12-2025,Desktop,Instagram,31
EvtID00129,CUS-10132885,Upgrade Plan,04-03-2026,Tablet,Instagram,99
EvtID00130,CUS-45276042,Purchase,7/18/2025,Mobile,Google Ads,147
EvtID00131,CUS-85903549,Upgrade Plan,07-07-2025,Desktop,,72
EvtID00132,CUS-44667560,Add to Cart,9/16/2025,Mobile,Instagram,107
EvtID00133,CUS-64001680,Logout,4/22/2026,Desktop,Google Ads,143
EvtID00134,CUS-88632692,Login,12/27/2025,Mobile,LinkedIn,43
EvtID00135,CUS-94573680,Add to Cart,8/18/2025,Desktop,Google Ads,30
EvtID00136,CUS-89564398,Logout,7/24/2025,Desktop,Google Ads,
EvtID00137,CUS-92989315,Upgrade Plan,7/23/2025,Mobile,Google Ads,150
EvtID00138,CUS-25244343,Upgrade Plan,04-11-2026,Mobile,Organic Search,92
EvtID00139,CUS-76066020,Login,7/27/2025,Mobile,,30
EvtID00140,CUS-31465687,Add to Cart,4/20/2025,Mobile,Google Ads,40
EvtID00141,CUS-97625800,Cancel Subscription,6/25/2025,Mobile,LinkedIn,119
EvtID00142,CUS-10295611,Add to Cart,11/20/2025,Mobile,Google Ads,142
EvtID00143,CUS-25894501,Purchase,3/25/2026,Mobile,Google Ads,1
EvtID00144,CUS-10263515,Logout,10/23/2025,Mobile,LinkedIn,31
EvtID00145,CUS-78362683,Add to Cart,2/13/2026,Mobile,Direct,13
EvtID00146,CUS-62963751,Cancel Subscription,11-04-2025,Mobile,Instagram,121
EvtID00147,CUS-42084977,Purchase,9/19/2025,Mobile,Direct,78
EvtID00148,CUS-82165601,Purchase,06-02-2025,Mobile,Google Ads,7
EvtID00149,CUS-80640398,Login,11/17/2025,Mobile,Google Ads,
EvtID00150,CUS-72860850,Logout,08-05-2025,Mobile,LinkedIn,24
EvtID00151,CUS-59760349,Logout,6/23/2025,Desktop,Organic Search,35
EvtID00152,CUS-64245369,Login,4/16/2025,Mobile,Instagram,111
EvtID00153,CUS-64733097,Add to Cart,12/18/2025,Mobile,Google Ads,80
EvtID00154,CUS-41616441,Cancel Subscription,10/24/2025,Mobile,Organic Search,26
EvtID00155,CUS-88235197,Logout,08-11-2025,Desktop,LinkedIn,
EvtID00156,CUS-96233311,Upgrade Plan,07-06-2025,Mobile,Instagram,25
EvtID00157,CUS-64099587,Add to Cart,8/13/2025,Desktop,Instagram,121
EvtID00158,CUS-96966294,Upgrade Plan,9/20/2025,Desktop,Instagram,52
EvtID00159,CUS-55102153,Login,4/18/2026,Desktop,Google Ads,172
EvtID00160,CUS-88862027,Add to Cart,05-12-2025,Mobile,,
EvtID00161,CUS-86982823,Purchase,04-11-2026,Desktop,Google Ads,96
EvtID00162,CUS-22399399,Login,1/17/2026,Mobile,Instagram,150
EvtID00163,CUS-74947997,Purchase,9/27/2025,Desktop,Google Ads,171
EvtID00164,CUS-67082425,Upgrade Plan,2/28/2026,Mobile,Instagram,
EvtID00165,CUS-49341306,Upgrade Plan,05-01-2026,Tablet,,2
EvtID00166,CUS-34912997,Purchase,3/23/2026,Desktop,,81
EvtID00167,CUS-12379803,Logout,4/22/2026,Desktop,Instagram,169
EvtID00168,CUS-90625891,Upgrade Plan,5/26/2025,Mobile,Organic Search,22
EvtID00169,CUS-92719565,Purchase,5/26/2025,Mobile,,159
EvtID00170,CUS-54260137,Cancel Subscription,03-01-2026,Mobile,Instagram,154
EvtID00171,CUS-14699662,Purchase,1/18/2026,Mobile,Google Ads,174
EvtID00172,CUS-34771980,Upgrade Plan,9/25/2025,Mobile,Instagram,144
EvtID00173,CUS-70425755,Purchase,7/19/2025,Tablet,Organic Search,154
EvtID00174,CUS-27561642,Upgrade Plan,4/22/2026,Tablet,Instagram,11
EvtID00175,CUS-91300763,Add to Cart,4/27/2026,Mobile,Email Campaign,93
EvtID00176,CUS-55875844,Cancel Subscription,6/27/2025,Mobile,,116
EvtID00177,CUS-46802684,Upgrade Plan,08-01-2025,Mobile,Google Ads,161
EvtID00178,CUS-85260905,Logout,7/28/2025,Tablet,Google Ads,126
EvtID00179,CUS-17069657,Upgrade Plan,9/29/2025,Mobile,Organic Search,93
EvtID00180,CUS-88531750,Purchase,4/22/2026,Mobile,Google Ads,97
EvtID00181,CUS-21703803,Upgrade Plan,02-11-2026,Tablet,Organic Search,90
EvtID00182,CUS-27642115,Cancel Subscription,3/18/2026,Mobile,Google Ads,
EvtID00183,CUS-61807354,Upgrade Plan,6/30/2025,Mobile,Instagram,8
EvtID00184,CUS-68813250,Purchase,04-02-2026,Mobile,Instagram,20
EvtID00185,CUS-20360344,Cancel Subscription,05-10-2025,Desktop,Instagram,155
EvtID00186,CUS-98870199,Login,11/13/2025,Desktop,Google Ads,98
EvtID00187,CUS-39029720,Logout,8/14/2025,Mobile,Instagram,85
EvtID00188,CUS-64774291,Cancel Subscription,5/18/2026,Desktop,Instagram,5
EvtID00189,CUS-38959875,Upgrade Plan,05-07-2025,Mobile,,132
EvtID00190,CUS-32792025,Cancel Subscription,11/20/2025,Mobile,,
EvtID00191,CUS-41490762,Upgrade Plan,3/20/2026,Mobile,Instagram,117
EvtID00192,CUS-66155424,Cancel Subscription,7/18/2025,Mobile,Google Ads,105
EvtID00193,CUS-28946068,Cancel Subscription,03-04-2026,Desktop,Instagram,139
EvtID00194,CUS-68689700,Upgrade Plan,10-09-2025,Desktop,Instagram,36
EvtID00195,CUS-15553719,Login,6/13/2025,Mobile,Google Ads,129
EvtID00196,CUS-69678783,Logout,03-04-2026,Desktop,Email Campaign,
EvtID00197,CUS-29056905,Login,09-03-2025,Desktop,Google Ads,77
EvtID00198,CUS-73060445,Upgrade Plan,04-01-2025,Mobile,Google Ads,170
EvtID00199,CUS-76603019,Login,12/17/2025,Mobile,Google Ads,116
EvtID00200,CUS-65534855,Logout,08-08-2025,Mobile,LinkedIn,47
EvtID00201,CUS-37558683,Logout,07-07-2025,Mobile,Instagram,142
EvtID00202,CUS-29954748,Cancel Subscription,01-08-2026,Mobile,LinkedIn,127
EvtID00203,CUS-43422305,Logout,02-10-2026,Mobile,,41
EvtID00204,CUS-41677974,Login,2/25/2026,,Google Ads,130
EvtID00205,CUS-41216064,Login,12/30/2025,Mobile,Instagram,38
EvtID00206,CUS-56466529,Cancel Subscription,4/24/2026,Mobile,Google Ads,150
EvtID00207,CUS-46110966,Purchase,6/26/2025,Mobile,,31
EvtID00208,CUS-67158337,Login,5/14/2025,Mobile,Instagram,71
EvtID00209,CUS-24993418,Login,8/20/2025,Desktop,Organic Search,67
EvtID00210,CUS-28275615,Login,05-09-2025,Mobile,Google Ads,88
EvtID00211,CUS-76859287,Logout,02-08-2026,Mobile,Google Ads,2
EvtID00212,CUS-12528365,Add to Cart,09-07-2025,Desktop,Organic Search,142
EvtID00213,CUS-40083441,Cancel Subscription,4/20/2025,Desktop,Google Ads,
EvtID00214,CUS-49424661,Add to Cart,3/28/2026,Desktop,Instagram,91
EvtID00215,CUS-31512836,Logout,4/29/2025,Mobile,Organic Search,61
EvtID00216,CUS-64183698,Add to Cart,11-06-2025,,Direct,4
EvtID00217,CUS-34784926,Cancel Subscription,04-03-2026,Desktop,Organic Search,12
EvtID00218,CUS-50139492,Purchase,04-04-2025,Mobile,LinkedIn,
EvtID00219,CUS-36032291,Cancel Subscription,11-04-2025,Mobile,Google Ads,154
EvtID00220,CUS-13810091,Add to Cart,02-08-2026,Desktop,Google Ads,161
EvtID00221,CUS-39563848,Upgrade Plan,6/25/2025,Mobile,Direct,48
EvtID00222,CUS-35778407,Upgrade Plan,7/25/2025,Mobile,Direct,41
EvtID00223,CUS-33032304,Cancel Subscription,1/28/2026,Desktop,LinkedIn,82
EvtID00224,CUS-63844300,Upgrade Plan,5/15/2025,Mobile,Google Ads,124
EvtID00225,CUS-42787559,Login,06-06-2025,Mobile,Google Ads,86
EvtID00226,CUS-42044027,Upgrade Plan,6/17/2025,Mobile,Instagram,66
EvtID00227,CUS-41140777,Login,10/19/2025,Mobile,Direct,113
EvtID00228,CUS-62245040,Login,10-02-2025,Desktop,Instagram,85
EvtID00229,CUS-62005831,Cancel Subscription,05-09-2026,Mobile,Organic Search,137
EvtID00230,CUS-76326859,Login,10/28/2025,Mobile,Instagram,122
EvtID00231,CUS-44126991,Add to Cart,7/23/2025,Mobile,Organic Search,
EvtID00232,CUS-14553204,Purchase,7/29/2025,Mobile,Email Campaign,
EvtID00233,CUS-67780193,Login,06-11-2025,Desktop,LinkedIn,113
EvtID00234,CUS-25363489,Purchase,4/27/2026,Desktop,Google Ads,137
EvtID00235,CUS-18134538,Login,3/23/2026,Desktop,Google Ads,21
EvtID00236,CUS-81283783,Purchase,12-07-2025,Mobile,LinkedIn,130
EvtID00237,CUS-45701515,Cancel Subscription,5/28/2025,Mobile,LinkedIn,10
EvtID00238,CUS-32921667,Add to Cart,01-06-2026,Mobile,Google Ads,
EvtID00239,CUS-51736873,Logout,08-03-2025,Mobile,Google Ads,77
EvtID00240,CUS-27014116,Logout,06-09-2025,Mobile,Google Ads,137
EvtID00241,CUS-97666151,Add to Cart,11/18/2025,Mobile,Google Ads,65
EvtID00242,CUS-73040682,Upgrade Plan,4/26/2026,Mobile,Google Ads,107
EvtID00243,CUS-24129947,Logout,03-10-2026,Desktop,Instagram,175
EvtID00244,CUS-80792569,Upgrade Plan,2/22/2026,Mobile,Google Ads,179
EvtID00245,CUS-71545733,Upgrade Plan,5/23/2025,Mobile,Google Ads,143
EvtID00246,CUS-94364906,Upgrade Plan,05-07-2026,Mobile,Instagram,7
EvtID00247,CUS-47856035,Cancel Subscription,10-08-2025,Desktop,Email Campaign,12
EvtID00248,CUS-28816024,Cancel Subscription,9/30/2025,Mobile,Google Ads,5
EvtID00249,CUS-91504119,Cancel Subscription,4/22/2026,Mobile,Organic Search,68
EvtID00250,CUS-18614321,Purchase,5/20/2026,Mobile,Google Ads,43
EvtID00251,CUS-14531846,Logout,3/21/2026,,LinkedIn,108
EvtID00252,CUS-22046746,Cancel Subscription,05-01-2026,Mobile,Direct,11
EvtID00253,CUS-32930359,Cancel Subscription,3/21/2026,Mobile,Google Ads,35
EvtID00254,CUS-26135239,Login,4/15/2025,Mobile,Organic Search,35
EvtID00255,CUS-22567117,Upgrade Plan,3/22/2026,Mobile,Instagram,117
EvtID00256,CUS-96593714,Cancel Subscription,02-06-2026,Mobile,Google Ads,68
EvtID00257,CUS-36404700,Purchase,7/13/2025,Mobile,LinkedIn,83
EvtID00258,CUS-41912410,Add to Cart,4/17/2025,Desktop,Organic Search,31
EvtID00259,CUS-60872927,Purchase,11/16/2025,Tablet,Google Ads,90
EvtID00260,CUS-57568828,Login,2/26/2026,Mobile,Google Ads,136
EvtID00261,CUS-68811668,Logout,12/28/2025,Desktop,Google Ads,16
EvtID00262,CUS-28776501,Cancel Subscription,8/31/2025,Mobile,Google Ads,49
EvtID00263,CUS-79332262,Upgrade Plan,01-12-2026,Mobile,Google Ads,87
EvtID00264,CUS-80545377,Login,7/14/2025,Mobile,Google Ads,118
EvtID00265,CUS-51531906,Login,04-03-2025,Mobile,Instagram,64
EvtID00266,CUS-26222179,Add to Cart,7/17/2025,Desktop,LinkedIn,59
EvtID00267,CUS-16076937,Cancel Subscription,10-04-2025,Desktop,Google Ads,21
EvtID00268,CUS-61393740,Cancel Subscription,05-07-2025,Desktop,,173
EvtID00269,CUS-67601116,Cancel Subscription,08-08-2025,Desktop,Google Ads,56
EvtID00270,CUS-89869099,Purchase,8/31/2025,Mobile,Direct,
EvtID00271,CUS-15326683,Add to Cart,12-03-2025,Mobile,Google Ads,90
EvtID00272,CUS-28250458,Cancel Subscription,4/20/2026,Desktop,Google Ads,157
EvtID00273,CUS-10354539,Purchase,10/21/2025,Mobile,Google Ads,88
EvtID00274,CUS-18921125,Purchase,04-06-2026,Mobile,LinkedIn,148
EvtID00275,CUS-17421725,Upgrade Plan,12/19/2025,Desktop,Google Ads,43
EvtID00276,CUS-56471187,Add to Cart,10/15/2025,Desktop,Instagram,14
EvtID00277,CUS-80465855,Add to Cart,5/21/2025,Desktop,Email Campaign,134
EvtID00278,CUS-19651062,Add to Cart,12/28/2025,Mobile,,86
EvtID00279,CUS-51081304,Upgrade Plan,11-09-2025,Mobile,LinkedIn,41
EvtID00280,CUS-14484736,Logout,12-08-2025,Mobile,Organic Search,162
EvtID00281,CUS-64576731,Cancel Subscription,2/14/2026,Mobile,Instagram,151
EvtID00282,CUS-74095770,Upgrade Plan,04-10-2026,Mobile,,91
EvtID00283,CUS-66357005,Cancel Subscription,1/28/2026,Mobile,Email Campaign,107
EvtID00284,CUS-13339636,Login,3/28/2026,Mobile,Google Ads,127
EvtID00285,CUS-81950933,Logout,04-11-2025,Desktop,Email Campaign,102
EvtID00286,CUS-72385863,Cancel Subscription,10/30/2025,Mobile,Organic Search,
EvtID00287,CUS-51013744,Upgrade Plan,9/17/2025,Mobile,Google Ads,97
EvtID00288,CUS-36958857,Upgrade Plan,07-01-2025,Mobile,Instagram,164
EvtID00289,CUS-68383114,Purchase,1/23/2026,Mobile,Organic Search,84
EvtID00290,CUS-55981896,Logout,12-03-2025,Mobile,,100
EvtID00291,CUS-99202027,Add to Cart,5/20/2025,Desktop,Google Ads,
EvtID00292,CUS-55712560,Logout,06-06-2025,,Google Ads,60
EvtID00293,CUS-52139061,Upgrade Plan,5/16/2026,Mobile,Instagram,21
EvtID00294,CUS-56944441,Purchase,5/20/2025,Desktop,Instagram,64
EvtID00295,CUS-35097754,Upgrade Plan,12-01-2025,Mobile,Google Ads,142
EvtID00296,CUS-47207851,Logout,5/21/2026,Desktop,Instagram,
EvtID00297,CUS-40178814,Upgrade Plan,6/24/2025,Mobile,Google Ads,
EvtID00298,CUS-56017544,Add to Cart,06-02-2025,Mobile,LinkedIn,58
EvtID00299,CUS-57597734,Purchase,5/13/2025,Desktop,LinkedIn,7
EvtID00300,CUS-13714772,Logout,4/13/2025,Mobile,,
EvtID00301,CUS-71999602,Logout,4/14/2026,Desktop,Email Campaign,119
EvtID00302,CUS-17567562,Logout,12/26/2025,Mobile,Google Ads,119
EvtID00303,CUS-22874961,Purchase,2/14/2026,Mobile,Organic Search,16
EvtID00304,CUS-26300746,Logout,11/22/2025,Mobile,LinkedIn,23
EvtID00305,CUS-38252279,Upgrade Plan,12/19/2025,Mobile,Instagram,178
EvtID00306,CUS-82441425,Add to Cart,10-05-2025,Desktop,Organic Search,102
EvtID00307,CUS-74307639,Purchase,1/20/2026,Mobile,Instagram,93
EvtID00308,CUS-26414321,Cancel Subscription,04-03-2025,Mobile,Google Ads,121
EvtID00309,CUS-51323089,Login,4/19/2026,,Google Ads,134
EvtID00310,CUS-79092759,Cancel Subscription,2/19/2026,Mobile,Instagram,144
EvtID00311,CUS-84162690,Cancel Subscription,4/28/2026,Mobile,Instagram,97
EvtID00312,CUS-14718572,Add to Cart,9/15/2025,Mobile,Google Ads,41
EvtID00313,CUS-93911413,Login,06-05-2025,Mobile,Instagram,122
EvtID00314,CUS-68398721,Purchase,10-06-2025,Desktop,Google Ads,21
EvtID00315,CUS-22110072,Purchase,7/15/2025,Desktop,LinkedIn,16
EvtID00316,CUS-84567117,Login,12/16/2025,Mobile,LinkedIn,113
EvtID00317,CUS-80134401,Logout,1/23/2026,Desktop,Google Ads,4
EvtID00318,CUS-45876502,Logout,3/28/2026,Mobile,Google Ads,122
EvtID00319,CUS-40696361,Add to Cart,9/26/2025,Mobile,Direct,43
EvtID00320,CUS-11508889,Login,07-05-2025,Desktop,Google Ads,86
EvtID00321,CUS-32150483,Add to Cart,3/22/2026,Mobile,Organic Search,70
EvtID00322,CUS-24463571,Upgrade Plan,5/28/2025,Mobile,LinkedIn,75
EvtID00323,CUS-27528140,Add to Cart,7/18/2025,Mobile,Organic Search,42
EvtID00324,CUS-98060758,Login,12-01-2025,Mobile,Google Ads,65
EvtID00325,CUS-91011348,Upgrade Plan,9/28/2025,,Google Ads,73
EvtID00326,CUS-52731686,Login,11-05-2025,Mobile,,129
EvtID00327,CUS-34910398,Cancel Subscription,10/21/2025,Mobile,LinkedIn,62
EvtID00328,CUS-31994863,Add to Cart,05-02-2025,Mobile,Google Ads,37
EvtID00329,CUS-19699372,Upgrade Plan,9/25/2025,Mobile,Instagram,163
EvtID00330,CUS-52611581,Purchase,8/14/2025,Mobile,Google Ads,21
EvtID00331,CUS-60768651,Logout,9/21/2025,Mobile,Instagram,17
EvtID00332,CUS-87632315,Add to Cart,08-01-2025,Mobile,Instagram,50
EvtID00333,CUS-94823206,Upgrade Plan,9/29/2025,Mobile,Google Ads,40
EvtID00334,CUS-22002776,Upgrade Plan,10/18/2025,Desktop,Google Ads,71
EvtID00335,CUS-42139991,Cancel Subscription,06-01-2025,Mobile,,100
EvtID00336,CUS-52669194,Logout,6/30/2025,Desktop,Google Ads,
EvtID00337,CUS-80391849,Add to Cart,09-01-2025,Mobile,Google Ads,109
EvtID00338,CUS-77231245,Add to Cart,07-08-2025,Mobile,Instagram,85
EvtID00339,CUS-21633249,Logout,09-01-2025,Mobile,Google Ads,
EvtID00340,CUS-82729830,Login,06-02-2025,Mobile,Organic Search,102
EvtID00341,CUS-68456560,Purchase,1/20/2026,Desktop,Google Ads,85
EvtID00342,CUS-33277660,Purchase,4/13/2026,Mobile,,59
EvtID00343,CUS-68527055,Add to Cart,02-09-2026,Mobile,,169
EvtID00344,CUS-10470646,Purchase,8/17/2025,Desktop,,16
