ticket_id,customer_id,issue_type,priority,resolution_time_hours,ticket_status,support_channel
TKT-9393,CUS-44126991,Payment Failure,High,12,Closed,Chat
TKT-7260,CUS-14553204,Subscription Problem,Medium,12,Pending,Phone
TKT-7021,CUS-67780193,Payment Failure,Critical,70,Closed,Email
TKT-8767,CUS-73040682,Bug Report,Low,10,Closed,Email
TKT-6897,CUS-18614321,Login Issue,Low,43,Closed,Chat
TKT-4364,CUS-26135239,Payment Failure,Low,50,Open,Web Portal
TKT-1282,CUS-22567117,Bug Report,High,28,Closed,Chat
TKT-8131,CUS-96593714,Login Issue,Low,19,Closed,Chat
TKT-1259,CUS-36404700,Login Issue,Low,68,Closed,Chat
TKT-5682,CUS-60872927,Subscription Problem,Medium,27,Open,Email
TKT-9436,CUS-68811668,Refund Request,Low,70,Closed,Chat
TKT-4299,CUS-51531906,Login Issue,Low,1,Open,Chat
TKT-1980,CUS-89869099,Subscription Problem,Medium,30,Open,Email
TKT-1180,CUS-10354539,Login Issue,Medium,42,Closed,Email
TKT-5165,CUS-18921125,Subscription Problem,Medium,50,Closed,Chat
TKT-5291,CUS-17421725,Payment Failure,Low,60,Closed,Chat
TKT-9819,CUS-14484736,Payment Failure,Medium,56,Closed,Chat
TKT-4569,CUS-55981896,Bug Report,Medium,44,Closed,Phone
TKT-1305,CUS-52139061,Subscription Problem,Low,67,Closed,Email
TKT-6627,CUS-56017544,Payment Failure,High,67,Closed,Email
TKT-6464,CUS-71999602,Bug Report,Low,19,Closed,Chat
TKT-2502,CUS-17567562,Login Issue,High,26,Closed,Chat
TKT-2634,CUS-51323089,Payment Failure,Medium,58,Closed,Email
TKT-6454,CUS-79092759,Login Issue,Low,24,Closed,Phone
TKT-3739,CUS-80134401,Bug Report,High,59,Open,Chat
TKT-9573,CUS-11508889,Login Issue,Medium,71,Open,Email
TKT-8449,CUS-98060758,Login Issue,Low,49,Open,Email
TKT-3519,CUS-34910398,Subscription Problem,High,54,Closed,Email
TKT-2481,CUS-31994863,Payment Failure,Low,20,Closed,Chat
TKT-8023,CUS-60768651,Payment Failure,Critical,61,Closed,Phone
TKT-3732,CUS-87632315,Subscription Problem,Low,30,Closed,Phone
TKT-1072,CUS-94823206,Login Issue,Low,51,Pending,Phone
TKT-1610,CUS-77231245,Subscription Problem,Critical,53,Closed,Phone
TKT-1967,CUS-68527055,Login Issue,Medium,4,Pending,Chat
TKT-1880,CUS-37424595,Subscription Problem,High,58,Closed,Email
TKT-5520,CUS-55225331,Refund Request,Medium,12,Pending,Email
TKT-4227,CUS-51202971,Login Issue,Medium,49,Closed,Email
TKT-9214,CUS-21454810,Bug Report,Low,30,Closed,Chat
TKT-3792,CUS-26970953,Subscription Problem,Low,30,Closed,Chat
TKT-5309,CUS-71037606,Login Issue,Medium,45,Closed,Email
TKT-7050,CUS-88439537,Payment Failure,Low,13,Closed,Phone
TKT-7337,CUS-90285896,Subscription Problem,High,31,Closed,Chat
TKT-3502,CUS-59424122,Refund Request,Medium,13,Pending,Email
TKT-2471,CUS-76807142,Subscription Problem,Medium,48,Closed,Email
TKT-7209,CUS-73065042,Refund Request,Low,44,Closed,Chat
TKT-7144,CUS-37097414,Refund Request,Medium,20,Closed,Chat
TKT-7170,CUS-73663907,Login Issue,Low,6,Closed,Phone
TKT-8036,CUS-69586619,Payment Failure,Critical,72,Open,Email
TKT-8859,CUS-37560036,Bug Report,Low,53,Closed,Email
TKT-2627,CUS-42676532,Payment Failure,Medium,60,Closed,Email
TKT-2208,CUS-80820774,Subscription Problem,Low,62,Closed,Email
TKT-2945,CUS-87712948,Bug Report,Low,41,Closed,Email
TKT-1879,CUS-31950532,Login Issue,Low,1,Closed,Email
TKT-1768,CUS-37821449,Login Issue,Medium,55,Open,Chat
TKT-9612,CUS-76630810,Bug Report,Low,26,Closed,Phone
TKT-1188,CUS-86383059,Bug Report,Low,14,Closed,Email
TKT-6349,CUS-97244783,Subscription Problem,Low,44,Closed,Web Portal
TKT-2912,CUS-82633783,Login Issue,Medium,65,Open,Email
TKT-3438,CUS-83074113,Login Issue,Medium,22,Closed,Email
TKT-4692,CUS-86126075,Bug Report,High,18,Open,Chat
TKT-3584,CUS-13025376,Login Issue,Low,23,Pending,Web Portal
TKT-6024,CUS-39962957,Subscription Problem,Medium,22,Closed,Chat
TKT-7961,CUS-90754528,Bug Report,Low,59,Pending,Email
TKT-3558,CUS-57355704,Payment Failure,Low,37,Pending,Web Portal
TKT-6797,CUS-72617026,Refund Request,Low,70,Closed,Phone
TKT-2666,CUS-28885517,Feature Request,Medium,27,Open,Phone
TKT-7451,CUS-67539660,Payment Failure,Medium,72,Closed,Email
TKT-6239,CUS-24952782,Payment Failure,Low,44,Closed,Email
TKT-9936,CUS-90754823,Login Issue,Medium,52,Pending,Email
TKT-6361,CUS-80374636,Login Issue,Medium,8,Closed,Email
TKT-8694,CUS-62053560,Subscription Problem,Medium,6,Open,Chat
TKT-3958,CUS-62043339,Bug Report,Medium,46,Closed,Email
TKT-5325,CUS-48891815,Bug Report,Medium,37,Closed,Email
TKT-3431,CUS-43050795,Feature Request,Medium,71,Closed,Email
TKT-1182,CUS-96964404,Payment Failure,Low,35,Closed,Email
TKT-7703,CUS-13159453,Feature Request,High,70,Closed,Email
TKT-8923,CUS-41673228,Bug Report,High,37,Open,Chat
TKT-2128,CUS-94657635,Refund Request,Low,56,Closed,Web Portal
TKT-1078,CUS-54256880,Login Issue,Medium,3,Closed,Email
TKT-8572,CUS-78779484,Bug Report,Low,69,Pending,Email
TKT-7781,CUS-70757120,Subscription Problem,Low,21,Closed,Email
TKT-9802,CUS-90873769,Login Issue,Low,37,Open,Email
TKT-6099,CUS-60815411,Bug Report,High,50,Open,Email
TKT-6173,CUS-68782430,Payment Failure,Low,47,Closed,Chat
TKT-6624,CUS-64456327,Subscription Problem,Medium,68,Closed,Phone
TKT-5023,CUS-79778247,Refund Request,Medium,37,Closed,Chat
TKT-3803,CUS-77484741,Subscription Problem,Low,21,Closed,Email
TKT-5893,CUS-47319333,Refund Request,Low,67,Closed,Web Portal
TKT-6983,CUS-65178882,Payment Failure,Medium,29,Pending,Email
TKT-1837,CUS-42517462,Payment Failure,Low,17,Closed,Chat
TKT-8204,CUS-24874308,Refund Request,Low,23,Closed,Phone
TKT-9320,CUS-66017200,Bug Report,Critical,14,Closed,Email
TKT-4839,CUS-21381112,Payment Failure,High,28,Closed,Email
TKT-3315,CUS-96554776,Login Issue,Medium,42,Closed,Phone
TKT-9180,CUS-55955690,Refund Request,Medium,13,Closed,Email
TKT-8444,CUS-27418213,Subscription Problem,Medium,56,Closed,Chat
TKT-2980,CUS-86022702,Bug Report,Medium,36,Closed,Chat
TKT-8234,CUS-64568722,Payment Failure,Medium,66,Closed,Phone
TKT-9262,CUS-80233762,Login Issue,Medium,14,Closed,Email
TKT-5526,CUS-26307653,Bug Report,Low,32,Open,Email
TKT-1377,CUS-20808413,Subscription Problem,Low,33,Closed,Email
TKT-6962,CUS-54271644,Feature Request,Low,37,Closed,Chat
TKT-5539,CUS-35623779,Refund Request,Low,35,Open,Chat
TKT-2389,CUS-12166974,Payment Failure,Low,57,Closed,Chat
TKT-1050,CUS-96288039,Payment Failure,Low,23,Open,Email
TKT-2751,CUS-10234759,Login Issue,Medium,25,Closed,Phone
TKT-7797,CUS-34756125,Login Issue,Medium,57,Closed,Chat
TKT-9631,CUS-23840396,Payment Failure,Low,23,Closed,Chat
TKT-9254,CUS-53082964,Payment Failure,Low,59,Open,Chat
TKT-4149,CUS-54815027,Payment Failure,Medium,29,Pending,Chat
TKT-9349,CUS-24195294,Refund Request,Medium,6,Closed,Email
TKT-3050,CUS-62615377,Subscription Problem,Medium,7,Closed,Chat
TKT-6612,CUS-82925741,Login Issue,Low,9,Open,Chat
TKT-3666,CUS-31437660,Login Issue,Low,15,Closed,Email
TKT-3359,CUS-19210484,Payment Failure,Medium,45,Closed,Chat
TKT-8663,CUS-58337368,Bug Report,Medium,15,Closed,Email
TKT-4715,CUS-30702923,Feature Request,Medium,29,Open,Web Portal
TKT-8396,CUS-74296965,Subscription Problem,Medium,30,Closed,Email
TKT-7117,CUS-41183680,Payment Failure,Low,39,Closed,Chat
TKT-3557,CUS-37367323,Feature Request,Medium,43,Closed,Chat
TKT-9446,CUS-53519119,Bug Report,Low,60,Closed,Email
TKT-6663,CUS-20968128,Bug Report,Medium,19,Closed,Phone
TKT-1838,CUS-55644829,Refund Request,Medium,35,Closed,Chat
TKT-6720,CUS-57028374,Subscription Problem,Medium,31,Open,Email
TKT-3518,CUS-41698862,Refund Request,Medium,70,Closed,Email
TKT-8860,CUS-16301148,Login Issue,Low,4,Closed,Chat
TKT-5829,CUS-70472291,Payment Failure,Low,50,Closed,Phone
TKT-4737,CUS-62713204,Bug Report,High,12,Closed,Email
TKT-2446,CUS-39412741,Refund Request,High,15,Open,Email
TKT-1617,CUS-45772041,Login Issue,Critical,61,Pending,Chat
TKT-2473,CUS-31434773,Feature Request,Medium,17,Closed,Email
TKT-6360,CUS-73864290,Login Issue,Medium,39,Closed,Email
TKT-9115,CUS-44099374,Bug Report,Medium,21,Closed,Web Portal
TKT-8327,CUS-15088946,Payment Failure,Low,11,Open,Email
TKT-2359,CUS-80104582,Refund Request,Low,28,Closed,Phone
TKT-8619,CUS-28486691,Subscription Problem,Low,53,Closed,Chat
TKT-3538,CUS-92524726,Feature Request,Low,24,Closed,Web Portal
TKT-5451,CUS-79047712,Refund Request,High,65,Closed,Email
TKT-2691,CUS-54389572,Bug Report,Medium,4,Pending,Chat
TKT-3210,CUS-42889878,Bug Report,Low,47,Open,Email
TKT-4245,CUS-22023222,Refund Request,Medium,72,Open,Phone
TKT-6070,CUS-97555747,Bug Report,Low,31,Closed,Chat
TKT-7489,CUS-81286955,Login Issue,Medium,41,Closed,Email
TKT-6649,CUS-14383833,Subscription Problem,Low,30,Closed,Web Portal
TKT-7273,CUS-49382970,Feature Request,Medium,6,Open,Email
TKT-1292,CUS-33089421,Login Issue,Low,22,Closed,Chat
TKT-8827,CUS-54706872,Feature Request,High,49,Open,Email
TKT-5496,CUS-63992791,Bug Report,Medium,6,Closed,Chat
TKT-9217,CUS-67860785,Login Issue,Low,20,Closed,Phone
TKT-2083,CUS-49160831,Login Issue,Low,55,Open,Email
TKT-4378,CUS-53517565,Login Issue,Low,21,Closed,Chat
TKT-4631,CUS-76594060,Subscription Problem,High,66,Closed,Email
TKT-6820,CUS-97886088,Login Issue,Medium,56,Pending,Chat
TKT-9755,CUS-44712178,Refund Request,Low,46,Closed,Chat
TKT-9418,CUS-92448465,Login Issue,Medium,31,Closed,Chat
TKT-9286,CUS-23896645,Login Issue,Critical,53,Closed,Phone
TKT-8233,CUS-33440424,Subscription Problem,Medium,56,Closed,Email
TKT-2569,CUS-70134454,Bug Report,Low,15,Closed,Chat
TKT-3042,CUS-57884792,Payment Failure,Low,63,Open,Chat
TKT-5698,CUS-44096666,Login Issue,High,40,Open,Email
TKT-6081,CUS-67730972,Bug Report,Low,49,Closed,Chat
TKT-5324,CUS-25961611,Subscription Problem,Medium,22,Closed,Web Portal
TKT-1405,CUS-80347925,Login Issue,Medium,17,Closed,Phone
TKT-1805,CUS-13876895,Subscription Problem,Medium,37,Open,Email
TKT-7601,CUS-78146888,Payment Failure,Low,49,Closed,Email
TKT-4677,CUS-74551205,Payment Failure,Low,61,Closed,Email
TKT-8762,CUS-81444823,Payment Failure,Low,57,Closed,Email
TKT-5676,CUS-15599269,Login Issue,Low,18,Closed,Chat
TKT-9031,CUS-82907753,Subscription Problem,Low,39,Closed,Email
TKT-6819,CUS-18399123,Feature Request,Critical,31,Closed,Email
TKT-3221,CUS-35522512,Login Issue,Medium,12,Closed,Phone
TKT-9358,CUS-28697879,Login Issue,Medium,26,Pending,Chat
TKT-9322,CUS-66296250,Payment Failure,High,13,Open,Chat
TKT-9066,CUS-84302202,Payment Failure,High,71,Closed,Phone
TKT-2604,CUS-73773487,Login Issue,Low,38,Open,Email
TKT-2069,CUS-14545052,Bug Report,Medium,47,Closed,Phone
TKT-4371,CUS-82726512,Refund Request,High,16,Closed,Chat
TKT-3157,CUS-92386593,Subscription Problem,Low,52,Closed,Chat
TKT-8712,CUS-27423738,Payment Failure,High,53,Open,Phone
TKT-1770,CUS-28296183,Login Issue,High,34,Open,Web Portal
TKT-9341,CUS-95320213,Payment Failure,Low,63,Closed,Chat
TKT-9235,CUS-83859201,Bug Report,Low,23,Closed,Chat
TKT-8208,CUS-93053676,Bug Report,Low,68,Closed,Phone
TKT-8782,CUS-45461132,Feature Request,Low,24,Open,Web Portal
TKT-5437,CUS-17224362,Subscription Problem,Low,46,Closed,Email
TKT-5735,CUS-90351677,Subscription Problem,Low,39,Closed,Chat
TKT-7690,CUS-59368712,Bug Report,Low,48,Closed,Phone
TKT-6420,CUS-95850111,Subscription Problem,Low,68,Closed,Email
TKT-8574,CUS-81812336,Refund Request,Low,64,Closed,Email
TKT-3490,CUS-88080662,Payment Failure,Low,23,Closed,Email
TKT-8156,CUS-57279491,Payment Failure,Medium,61,Open,Email
TKT-3436,CUS-57714936,Bug Report,Medium,37,Closed,Chat
TKT-2716,CUS-33063969,Login Issue,High,21,Closed,Email
TKT-4972,CUS-56495315,Bug Report,Critical,54,Closed,Email
TKT-2351,CUS-49802683,Subscription Problem,Low,26,Open,Email
TKT-4648,CUS-61562830,Payment Failure,Medium,8,Closed,Web Portal
TKT-2542,CUS-24007436,Login Issue,Low,61,Closed,Chat
TKT-7509,CUS-95184274,Bug Report,Low,38,Closed,Email
TKT-8077,CUS-63837086,Login Issue,Medium,41,Closed,Email
TKT-4559,CUS-70232308,Payment Failure,High,8,Open,Chat
TKT-5250,CUS-39186618,Subscription Problem,Low,65,Closed,Phone
TKT-5268,CUS-19518624,Payment Failure,Low,12,Pending,Email
TKT-2452,CUS-46787819,Payment Failure,High,64,Closed,Email
TKT-7810,CUS-92785174,Feature Request,High,12,Open,Web Portal
TKT-8366,CUS-64879316,Subscription Problem,Low,33,Closed,Chat
TKT-3778,CUS-97079515,Bug Report,Low,12,Closed,Email
TKT-3363,CUS-76236718,Login Issue,Low,8,Closed,Email
TKT-1602,CUS-61882101,Refund Request,Critical,68,Closed,Phone
TKT-4489,CUS-47425406,Login Issue,Low,30,Closed,Email
TKT-5411,CUS-14575371,Feature Request,Low,38,Closed,Email
TKT-1483,CUS-34343598,Bug Report,Low,25,Closed,Web Portal
TKT-5927,CUS-84648698,Refund Request,Critical,13,Open,Chat
TKT-4803,CUS-66100949,Login Issue,Low,29,Closed,Phone
TKT-2456,CUS-80791080,Refund Request,High,53,Closed,Phone
TKT-2273,CUS-61994058,Feature Request,Low,13,Closed,Email
TKT-2654,CUS-57247595,Payment Failure,High,3,Open,Email
TKT-2659,CUS-49535174,Bug Report,Low,40,Closed,Web Portal
TKT-9076,CUS-68960422,Refund Request,Medium,29,Closed,Email
TKT-2732,CUS-69510404,Bug Report,Critical,71,Pending,Email
TKT-9848,CUS-99095229,Login Issue,Medium,38,Closed,Phone
TKT-8374,CUS-24135234,Login Issue,High,64,Closed,Chat
TKT-2783,CUS-56636566,Payment Failure,Low,26,Open,Chat
TKT-9488,CUS-46048313,Login Issue,Medium,23,Open,Chat
TKT-1708,CUS-93978381,Bug Report,Low,2,Closed,Chat
TKT-6372,CUS-69504309,Subscription Problem,Medium,58,Closed,Chat
TKT-1909,CUS-92239668,Payment Failure,Medium,3,Closed,Chat
TKT-1609,CUS-15208470,Bug Report,Medium,58,Pending,Phone
TKT-7537,CUS-31910272,Payment Failure,Low,65,Closed,Email
TKT-3846,CUS-91224459,Login Issue,Low,51,Open,Web Portal
TKT-9279,CUS-63830135,Login Issue,Medium,31,Closed,Chat
TKT-2760,CUS-71474735,Refund Request,Low,63,Closed,Email
TKT-3522,CUS-94534518,Login Issue,Low,51,Closed,Email
TKT-1507,CUS-27881563,Login Issue,Critical,20,Closed,Chat
TKT-4282,CUS-69213422,Login Issue,Low,13,Closed,Chat
TKT-5872,CUS-96312143,Bug Report,Medium,52,Closed,Chat
TKT-1857,CUS-48500651,Subscription Problem,Low,62,Open,Phone
TKT-4154,CUS-75922230,Login Issue,Medium,54,Open,Web Portal
TKT-2215,CUS-48565042,Refund Request,Medium,29,Pending,Chat
TKT-2255,CUS-39881167,Refund Request,Low,27,Closed,Web Portal
TKT-1818,CUS-43541968,Login Issue,Low,47,Closed,Phone
TKT-6357,CUS-17654644,Login Issue,Medium,62,Closed,Email
TKT-2468,CUS-27214196,Refund Request,Critical,54,Closed,Chat
TKT-3623,CUS-93971130,Payment Failure,Medium,62,Pending,Chat
TKT-6123,CUS-45706139,Login Issue,High,64,Closed,Web Portal
TKT-5137,CUS-10078115,Login Issue,Low,5,Open,Email
TKT-2610,CUS-19235059,Refund Request,Low,65,Closed,Chat
TKT-2937,CUS-65908774,Refund Request,High,65,Closed,Chat
TKT-5513,CUS-11104574,Payment Failure,Medium,13,Pending,Email
TKT-4684,CUS-35615705,Bug Report,High,35,Pending,Chat
TKT-9881,CUS-10377462,Bug Report,Medium,24,Open,Chat
TKT-9893,CUS-72769401,Refund Request,Low,19,Closed,Email
TKT-7033,CUS-85254291,Bug Report,Medium,70,Closed,Email
TKT-3999,CUS-20208563,Payment Failure,Low,70,Closed,Email
TKT-2332,CUS-43027696,Refund Request,Critical,14,Open,Email
TKT-2581,CUS-14219236,Login Issue,Medium,29,Closed,Web Portal
TKT-9158,CUS-50464165,Refund Request,Medium,58,Pending,Chat
TKT-2244,CUS-72339644,Payment Failure,Low,9,Closed,Chat
TKT-8601,CUS-57790837,Bug Report,Medium,65,Pending,Email
TKT-6214,CUS-57607836,Login Issue,Medium,47,Pending,Chat
TKT-4050,CUS-28824416,Login Issue,Medium,14,Closed,Chat
TKT-5728,CUS-71092499,Feature Request,High,37,Pending,Phone
TKT-2941,CUS-12254895,Payment Failure,Medium,33,Closed,Chat
TKT-7679,CUS-25321139,Payment Failure,Medium,54,Closed,Chat
TKT-1653,CUS-84584342,Feature Request,Low,26,Closed,Chat
TKT-2983,CUS-15183894,Login Issue,Low,64,Closed,Chat
TKT-3582,CUS-35053387,Login Issue,Low,53,Open,Chat
TKT-9201,CUS-22229376,Login Issue,High,15,Closed,Phone
TKT-9589,CUS-11354814,Bug Report,Critical,69,Closed,Chat
TKT-6682,CUS-50893984,Login Issue,Low,20,Pending,Chat
TKT-6587,CUS-49336060,Payment Failure,Low,42,Open,Chat
TKT-5547,CUS-16284771,Bug Report,Medium,10,Closed,Email
TKT-7693,CUS-57753748,Bug Report,Low,69,Closed,Email
TKT-4716,CUS-42462379,Refund Request,Medium,15,Closed,Email
TKT-3627,CUS-85290144,Refund Request,Medium,23,Pending,Email
TKT-4310,CUS-21320138,Payment Failure,Critical,38,Closed,Email
TKT-2410,CUS-48620121,Login Issue,Low,33,Closed,Chat
TKT-7503,CUS-54615875,Login Issue,Low,51,Closed,Phone
TKT-8563,CUS-94906420,Payment Failure,High,54,Closed,Chat
TKT-7132,CUS-79757519,Login Issue,Low,57,Closed,Chat
TKT-8200,CUS-66998488,Subscription Problem,Medium,7,Closed,Email
TKT-2518,CUS-85996992,Feature Request,High,31,Closed,Chat
TKT-6993,CUS-15974335,Bug Report,Low,62,Closed,Chat
TKT-6522,CUS-96816848,Feature Request,Medium,48,Open,Email
TKT-2495,CUS-15233143,Payment Failure,Critical,42,Closed,Chat
TKT-1943,CUS-46000799,Payment Failure,High,29,Open,Email
TKT-7049,CUS-74865373,Login Issue,Low,71,Closed,Email
TKT-9193,CUS-24135736,Bug Report,Low,48,Closed,Email
TKT-7413,CUS-96940266,Login Issue,Low,51,Closed,Chat
TKT-3697,CUS-40169432,Refund Request,Medium,20,Closed,Chat
TKT-9763,CUS-24881293,Login Issue,Low,58,Closed,Phone
TKT-2544,CUS-29816486,Payment Failure,Low,48,Closed,Chat
TKT-8749,CUS-86271066,Login Issue,Medium,68,Open,Phone
TKT-1691,CUS-65259447,Login Issue,Medium,5,Open,Phone
TKT-4060,CUS-46907363,Bug Report,Low,7,Closed,Web Portal
TKT-2806,CUS-11182420,Payment Failure,Low,1,Open,Email
TKT-7590,CUS-24206368,Payment Failure,Medium,33,Open,Email
TKT-9414,CUS-26049773,Payment Failure,Low,57,Closed,Email
TKT-7012,CUS-60817879,Subscription Problem,Medium,36,Pending,Chat
TKT-6583,CUS-22168140,Bug Report,Medium,24,Closed,Chat
TKT-7651,CUS-24533472,Refund Request,Medium,33,Pending,Web Portal
TKT-3184,CUS-34526590,Login Issue,Low,18,Closed,Email
TKT-1572,CUS-61740244,Subscription Problem,Low,61,Closed,Chat
TKT-9040,CUS-54844521,Subscription Problem,Medium,67,Closed,Email
TKT-2695,CUS-65660032,Refund Request,Low,38,Closed,Email
TKT-2195,CUS-61901065,Bug Report,Low,25,Closed,Phone
TKT-7448,CUS-95936408,Login Issue,Medium,35,Closed,Email
TKT-3330,CUS-23808168,Payment Failure,High,41,Pending,Email
TKT-6338,CUS-41172527,Login Issue,Low,61,Closed,Chat
TKT-5644,CUS-80406011,Payment Failure,High,42,Closed,Chat
TKT-6005,CUS-94142654,Login Issue,Low,68,Open,Email
TKT-5800,CUS-74837208,Subscription Problem,Low,50,Open,Email
TKT-6882,CUS-57183261,Bug Report,High,28,Pending,Chat
TKT-1066,CUS-45385208,Refund Request,Low,9,Closed,Chat
TKT-4862,CUS-62334428,Subscription Problem,Low,6,Closed,Chat
TKT-6292,CUS-43986636,Payment Failure,Low,22,Open,Phone
TKT-1701,CUS-32642918,Subscription Problem,High,23,Open,Chat
TKT-9457,CUS-14769621,Subscription Problem,Medium,2,Closed,Email
TKT-7617,CUS-23796527,Subscription Problem,Medium,24,Closed,Chat
TKT-8238,CUS-70834235,Login Issue,Low,40,Closed,Web Portal
TKT-7411,CUS-80608002,Payment Failure,Medium,68,Closed,Web Portal
TKT-9985,CUS-67190011,Login Issue,Low,69,Closed,Email
TKT-6608,CUS-82769998,Bug Report,High,17,Pending,Phone
TKT-7074,CUS-73525530,Bug Report,Low,9,Closed,Email
TKT-5447,CUS-23981436,Login Issue,Medium,49,Closed,Chat
TKT-9642,CUS-33762076,Bug Report,Medium,13,Closed,Email
TKT-1291,CUS-11922236,Subscription Problem,Low,70,Closed,Chat
TKT-7124,CUS-26905817,Bug Report,Low,22,Closed,Phone
TKT-7502,CUS-44946268,Bug Report,Low,43,Closed,Email
TKT-7316,CUS-68372952,Login Issue,Low,32,Open,Chat
TKT-9872,CUS-55741805,Login Issue,High,61,Open,Chat
TKT-5366,CUS-55104336,Payment Failure,Critical,4,Pending,Email
TKT-4855,CUS-70023519,Login Issue,Medium,57,Closed,Phone
TKT-2112,CUS-37445576,Subscription Problem,High,49,Closed,Phone
TKT-9173,CUS-16196351,Login Issue,Medium,32,Closed,Email
TKT-6118,CUS-95316454,Bug Report,Low,41,Closed,Email
TKT-7505,CUS-86133927,Subscription Problem,High,45,Pending,Email
TKT-3785,CUS-16038931,Payment Failure,Medium,2,Closed,Chat
TKT-9810,CUS-23904966,Subscription Problem,Low,40,Closed,Email
TKT-3138,CUS-50010418,Login Issue,High,12,Open,Chat
TKT-2789,CUS-11742966,Payment Failure,Low,8,Open,Email
TKT-7675,CUS-37381799,Payment Failure,Low,52,Closed,Email
TKT-4906,CUS-65296754,Login Issue,Medium,9,Open,Email
TKT-7384,CUS-34925333,Bug Report,Medium,62,Closed,Email
TKT-1187,CUS-10046979,Bug Report,Critical,26,Closed,Email
TKT-3724,CUS-77908440,Login Issue,Critical,70,Closed,Chat
TKT-6025,CUS-10910164,Login Issue,Medium,63,Closed,Phone
TKT-7855,CUS-45949981,Bug Report,High,37,Pending,Email
TKT-8842,CUS-29203261,Feature Request,Low,55,Closed,Email
